sample,sampleID,path,pop,kind,depth,count,parent_path
489.fcs,88,,(all events),SampleNode,0,408,
489.fcs,88,Cells,Cells,Population,1,307,
489.fcs,88,Cells/Single Cells,Single Cells,Population,2,229,Cells
489.fcs,88,Cells/Single Cells/Live Leukocytes,Live Leukocytes,Population,3,15,Cells/Single Cells
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+,CD3+,Population,4,7,Cells/Single Cells/Live Leukocytes
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+/CD4+,CD4+,Population,5,1,Cells/Single Cells/Live Leukocytes/CD3+
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-,CD25+CD127-,Population,6,1,Cells/Single Cells/Live Leukocytes/CD3+/CD4+
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-/Tregs,Tregs,Population,7,1,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+/CD8+,CD8+,Population,5,2,Cells/Single Cells/Live Leukocytes/CD3+
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-,CD3+-,NotNode,4,8,Cells/Single Cells/Live Leukocytes
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+,CD11b+F4_80+,Population,5,0,Cells/Single Cells/Live Leukocytes/CD3+-
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils,Eosinophils,Population,6,0,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-,Eosinophils-,NotNode,6,0,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-,Ly6G-,Population,7,0,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-/M1 Like,M1 Like,Population,8,0,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-/M2 Like,M2 Like,Population,8,0,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-,CD11b+F4_80-,Population,5,2,Cells/Single Cells/Live Leukocytes/CD3+-
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-/Monocytes,Monocytes,Population,6,1,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-/Neutrophils,Neutrophils,Population,6,1,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs,Red pulp Macs,Population,5,0,Cells/Single Cells/Live Leukocytes/CD3+-
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,M1 Like,Population,6,0,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,M2 Like,Population,6,0,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs
483.fcs,89,,(all events),SampleNode,0,150744,
483.fcs,89,Cells,Cells,Population,1,141099,
483.fcs,89,Cells/Single Cells,Single Cells,Population,2,110842,Cells
483.fcs,89,Cells/Single Cells/Live Leukocytes,Live Leukocytes,Population,3,44177,Cells/Single Cells
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+,CD3+,Population,4,32303,Cells/Single Cells/Live Leukocytes
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+/CD4+,CD4+,Population,5,5078,Cells/Single Cells/Live Leukocytes/CD3+
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-,CD25+CD127-,Population,6,344,Cells/Single Cells/Live Leukocytes/CD3+/CD4+
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-/Tregs,Tregs,Population,7,235,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+/CD8+,CD8+,Population,5,4710,Cells/Single Cells/Live Leukocytes/CD3+
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-,CD3+-,NotNode,4,11874,Cells/Single Cells/Live Leukocytes
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+,CD11b+F4_80+,Population,5,668,Cells/Single Cells/Live Leukocytes/CD3+-
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils,Eosinophils,Population,6,15,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-,Eosinophils-,NotNode,6,653,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-,Ly6G-,Population,7,612,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-/M1 Like,M1 Like,Population,8,528,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-/M2 Like,M2 Like,Population,8,60,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-,CD11b+F4_80-,Population,5,1830,Cells/Single Cells/Live Leukocytes/CD3+-
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-/Monocytes,Monocytes,Population,6,110,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-/Neutrophils,Neutrophils,Population,6,1696,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs,Red pulp Macs,Population,5,1101,Cells/Single Cells/Live Leukocytes/CD3+-
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,M1 Like,Population,6,1068,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,M2 Like,Population,6,12,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs
492.fcs,90,,(all events),SampleNode,0,7920,
492.fcs,90,Cells,Cells,Population,1,7616,
492.fcs,90,Cells/Single Cells,Single Cells,Population,2,6901,Cells
492.fcs,90,Cells/Single Cells/Live Leukocytes,Live Leukocytes,Population,3,3188,Cells/Single Cells
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+,CD3+,Population,4,2122,Cells/Single Cells/Live Leukocytes
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+/CD4+,CD4+,Population,5,544,Cells/Single Cells/Live Leukocytes/CD3+
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-,CD25+CD127-,Population,6,23,Cells/Single Cells/Live Leukocytes/CD3+/CD4+
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-/Tregs,Tregs,Population,7,23,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+/CD8+,CD8+,Population,5,513,Cells/Single Cells/Live Leukocytes/CD3+
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-,CD3+-,NotNode,4,1066,Cells/Single Cells/Live Leukocytes
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+,CD11b+F4_80+,Population,5,15,Cells/Single Cells/Live Leukocytes/CD3+-
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils,Eosinophils,Population,6,2,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-,Eosinophils-,NotNode,6,13,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-,Ly6G-,Population,7,12,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-/M1 Like,M1 Like,Population,8,10,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-/M2 Like,M2 Like,Population,8,1,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-,CD11b+F4_80-,Population,5,78,Cells/Single Cells/Live Leukocytes/CD3+-
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-/Monocytes,Monocytes,Population,6,1,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-/Neutrophils,Neutrophils,Population,6,77,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs,Red pulp Macs,Population,5,53,Cells/Single Cells/Live Leukocytes/CD3+-
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,M1 Like,Population,6,46,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,M2 Like,Population,6,2,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs
496.fcs,91,,(all events),SampleNode,0,32120,
496.fcs,91,Cells,Cells,Population,1,29952,
496.fcs,91,Cells/Single Cells,Single Cells,Population,2,23106,Cells
496.fcs,91,Cells/Single Cells/Live Leukocytes,Live Leukocytes,Population,3,4438,Cells/Single Cells
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+,CD3+,Population,4,3014,Cells/Single Cells/Live Leukocytes
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+/CD4+,CD4+,Population,5,574,Cells/Single Cells/Live Leukocytes/CD3+
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-,CD25+CD127-,Population,6,13,Cells/Single Cells/Live Leukocytes/CD3+/CD4+
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-/Tregs,Tregs,Population,7,12,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+/CD8+,CD8+,Population,5,438,Cells/Single Cells/Live Leukocytes/CD3+
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-,CD3+-,NotNode,4,1424,Cells/Single Cells/Live Leukocytes
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+,CD11b+F4_80+,Population,5,32,Cells/Single Cells/Live Leukocytes/CD3+-
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils,Eosinophils,Population,6,1,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-,Eosinophils-,NotNode,6,31,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-,Ly6G-,Population,7,25,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-/M1 Like,M1 Like,Population,8,24,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-/M2 Like,M2 Like,Population,8,0,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80+/Eosinophils-/Ly6G-
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-,CD11b+F4_80-,Population,5,166,Cells/Single Cells/Live Leukocytes/CD3+-
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-/Monocytes,Monocytes,Population,6,16,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-/Neutrophils,Neutrophils,Population,6,145,Cells/Single Cells/Live Leukocytes/CD3+-/CD11b+F4_80-
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs,Red pulp Macs,Population,5,89,Cells/Single Cells/Live Leukocytes/CD3+-
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,M1 Like,Population,6,80,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,M2 Like,Population,6,1,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs
491.fcs,92,,(all events),SampleNode,0,14832,
491.fcs,92,Cells,Cells,Population,1,14105,
491.fcs,92,Cells/Single Cells,Single Cells,Population,2,12474,Cells
491.fcs,92,Cells/Single Cells/Live Leukocytes,Live Leukocytes,Population,3,5387,Cells/Single Cells
491.fcs,92,Cells/Single Cells/Live Leukocytes/CD3+,CD3+,Population,4,4180,Cells/Single Cells/Live Leukocytes
491.fcs,92,Cells/Single Cells/Live Leukocytes/CD3+/CD4+,CD4+,Population,5,1180,Cells/Single Cells/Live Leukocytes/CD3+
491.fcs,92,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-,CD25+CD127-,Population,6,68,Cells/Single Cells/Live Leukocytes/CD3+/CD4+
491.fcs,92,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-/Tregs,Tregs,Population,7,66,Cells/Single Cells/Live Leukocytes/CD3+/CD4+/CD25+CD127-
491.fcs,92,Cells/Single Cells/Live Leukocytes/CD3+/CD8+,CD8+,Population,5,715,Cells/Single Cells/Live Leukocytes/CD3+
