sample,sampleID,path,stat,detector,marker,value
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,
489.fcs,88,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,16737.65234375
483.fcs,89,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,13027.91796875
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,12275.29296875
492.fcs,90,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,7206.471191406
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,16232.389648438
496.fcs,91,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,15398.861328125
491.fcs,92,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,13984.791015625
491.fcs,92,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,14023.12890625
487.fcs,93,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,8828.6640625
487.fcs,93,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,3868.737792969
490.fcs,94,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,13832.600585938
490.fcs,94,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,12209.330078125
481.fcs,95,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,11571.200195312
481.fcs,95,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,9130.180664062
489.fcs,96,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,9794.836914062
489.fcs,96,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,15743.909179688
502.fcs,97,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,13984.791015625
502.fcs,97,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,11326.549804688
486.fcs,98,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,10134.434570312
486.fcs,98,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,8897.21875
494.fcs,99,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,12046.16015625
494.fcs,99,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,11540.294921875
498.fcs,80,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,12308.424804688
498.fcs,80,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,8693.36328125
497.fcs,81,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,9273.307617188
497.fcs,81,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,8760.713867188
488.fcs,82,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,14572.342773438
488.fcs,82,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,13946.568359375
499.fcs,83,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,18205.802734375
499.fcs,83,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,18673.373046875
495.fcs,84,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,14572.342773438
495.fcs,84,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,12046.16015625
493.fcs,85,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,13098.865234375
493.fcs,85,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,12176.498046875
485.fcs,86,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,12475.59765625
485.fcs,86,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,11266.3046875
484.fcs,87,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M1 Like,Median,RB670-A,MerTK,10912.3515625
484.fcs,87,Cells/Single Cells/Live Leukocytes/CD3+-/Red pulp Macs/M2 Like,Median,RB670-A,MerTK,12782.97265625
