sample,sampleID,date,btim,cytometer
489.fcs,88,07-Sep-2026,10:42:51.69,Aurora
483.fcs,89,07-Sep-2026,10:07:01.91,Aurora
492.fcs,90,07-Sep-2026,10:51:49.27,Aurora
496.fcs,91,07-Sep-2026,11:08:02.79,Aurora
491.fcs,92,07-Sep-2026,10:48:15.75,Aurora
487.fcs,93,07-Sep-2026,10:14:44.24,Aurora
490.fcs,94,07-Sep-2026,10:58:00.99,Aurora
481.fcs,95,07-Sep-2026,10:22:44.71,Aurora
489.fcs,96,07-Sep-2026,10:45:38.06,Aurora
502.fcs,97,07-Sep-2026,10:37:24.76,Aurora
486.fcs,98,07-Sep-2026,10:32:04.64,Aurora
494.fcs,99,07-Sep-2026,11:04:23.34,Aurora
498.fcs,80,05-Sep-2026,15:56:47.42,Aurora
497.fcs,81,05-Sep-2026,15:52:55.02,Aurora
488.fcs,82,07-Sep-2026,10:18:08.72,Aurora
499.fcs,83,07-Sep-2026,10:03:38.21,Aurora
495.fcs,84,07-Sep-2026,10:54:48.95,Aurora
493.fcs,85,07-Sep-2026,11:01:13.27,Aurora
485.fcs,86,07-Sep-2026,10:26:07.08,Aurora
484.fcs,87,07-Sep-2026,10:11:24.96,Aurora
